col1	col2	col3	eda	hr	temp
-60.0	19.0	18.0	0.134524	90.07	35.07
-60.0	20.0	18.0	0.134524	90.02	35.07
-60.0	20.0	18.0	0.135805	89.97	35.05
-60.0	20.0	18.0	0.134524	89.92	35.05
-60.0	20.0	18.0	0.135805	89.88	35.07
-60.0	20.0	18.0	0.135805	89.83	35.05
-60.0	20.0	18.0	0.134524	89.78	35.07
-60.0	20.0	18.0	0.135805	89.73	35.03
-60.0	20.0	18.0	0.135805	89.67	35.05
-60.0	20.0	18.0	0.135805	89.6	35.05
-60.0	20.0	18.0	0.134524	89.53	35.05
-60.0	20.0	17.0	0.135805	89.45	35.03
-59.0	20.0	18.0	0.134524	89.38	35.03
-60.0	20.0	18.0	0.135805	89.32	35.05
-60.0	20.0	18.0	0.135805	89.27	35.05
-60.0	20.0	18.0	0.135805	89.22	35.03
-60.0	20.0	18.0	0.135805	89.2	35.05
-60.0	20.0	17.0	0.135805	89.2	35.05
-60.0	20.0	17.0	0.135805	89.2	35.05
-59.0	21.0	18.0	0.135805	89.2	35.03
-59.0	21.0	18.0	0.13708599999999999	89.2	35.03
-60.0	20.0	18.0	0.13708599999999999	89.2	35.05
-60.0	20.0	17.0	0.13708599999999999	89.18	35.05
-60.0	20.0	17.0	0.13708599999999999	89.18	35.05
-60.0	21.0	17.0	0.13836700000000002	89.17	35.05
-60.0	20.0	18.0	0.13708599999999999	89.17	35.05
-60.0	21.0	17.0	0.13708599999999999	89.17	35.05
-60.0	21.0	18.0	0.13836700000000002	89.15	35.05
-59.0	21.0	18.0	0.13836700000000002	89.15	35.05
-59.0	21.0	18.0	0.13836700000000002	89.17	35.05
-60.0	21.0	18.0	0.139648	89.18	35.07
-59.0	21.0	18.0	0.13836700000000002	89.2	35.07
-60.0	21.0	18.0	0.140929	89.2	35.05
-54.0	21.0	30.0	0.144773	89.2	35.05
-61.0	17.0	18.0	0.140929	89.2	35.07
-59.0	19.0	21.0	0.14221099999999998	89.22	35.07
-59.0	19.0	22.0	0.139648	89.23	35.05
-59.0	20.0	21.0	0.140929	89.23	35.07
-59.0	20.0	20.0	0.14221099999999998	89.23	35.07
-60.0	20.0	20.0	0.140929	89.23	35.05
-60.0	20.0	20.0	0.14221099999999998	89.23	35.05
-59.0	20.0	20.0	0.143492	89.23	35.09
-59.0	20.0	20.0	0.14221099999999998	89.25	35.07
-59.0	20.0	19.0	0.14221099999999998	89.23	35.07
-60.0	20.0	19.0	0.143492	89.22	35.09
-60.0	20.0	19.0	0.14221099999999998	89.18	35.07
-59.0	20.0	20.0	0.144773	89.17	35.09
-59.0	20.0	19.0	0.143492	89.15	35.09
-59.0	20.0	19.0	0.14221099999999998	89.15	35.11
-59.0	20.0	19.0	0.14221099999999998	89.13	35.11
-59.0	20.0	19.0	0.14221099999999998	89.13	35.09
-59.0	20.0	19.0	0.14221099999999998	89.15	35.11
-59.0	21.0	19.0	0.14221099999999998	89.17	35.11
-59.0	21.0	19.0	0.14221099999999998	89.18	35.11
-60.0	20.0	19.0	0.143492	89.2	35.09
-59.0	21.0	19.0	0.143492	89.23	35.09
-59.0	20.0	20.0	0.143492	89.25	35.11
-59.0	20.0	19.0	0.144773	89.27	35.11
-59.0	21.0	20.0	0.143492	89.28	35.09
-59.0	21.0	19.0	0.143492	89.3	35.13
-59.0	21.0	19.0	0.143492	89.32	35.11
-66.0	23.0	18.0	0.144773	89.32	35.11
-58.0	16.0	26.0	0.139648	89.33	35.13
-58.0	19.0	24.0	0.14221099999999998	89.37	35.11
-58.0	18.0	25.0	0.144773	89.38	35.11
-58.0	19.0	25.0	0.144773	89.38	35.11
-58.0	19.0	25.0	0.144773	89.37	35.13
-58.0	19.0	24.0	0.144773	89.35	35.13
-58.0	19.0	24.0	0.146054	89.32	35.13
-59.0	17.0	24.0	0.146054	89.28	35.13
-59.0	16.0	21.0	0.143492	89.18	35.13
-60.0	18.0	21.0	0.143492	89.1	35.11
-58.0	18.0	22.0	0.143492	89.02	35.13
-58.0	19.0	23.0	0.144773	88.98	35.15
-58.0	19.0	23.0	0.146054	88.95	35.11
-58.0	19.0	23.0	0.147335	88.93	35.13
-58.0	19.0	24.0	0.147335	88.9	35.13
-58.0	19.0	23.0	0.148616	88.87	35.16
-58.0	19.0	23.0	0.147335	88.83	35.15
-58.0	19.0	23.0	0.148616	88.8	35.16
-58.0	19.0	23.0	0.146054	88.77	35.15
-58.0	19.0	23.0	0.147335	88.75	35.16
-58.0	19.0	23.0	0.147335	88.75	35.18
-58.0	19.0	23.0	0.147335	88.73	35.16
-58.0	19.0	23.0	0.148616	88.73	35.16
-58.0	19.0	23.0	0.148616	88.73	35.21
-59.0	19.0	22.0	0.147335	88.73	35.16
-59.0	19.0	23.0	0.148616	88.75	35.18
-58.0	20.0	23.0	0.149898	88.75	35.18
-59.0	19.0	23.0	0.149898	88.73	35.21
-58.0	20.0	23.0	0.149898	88.72	35.18
-59.0	19.0	23.0	0.149898	88.7	35.18
-58.0	20.0	23.0	0.149898	88.68	35.18
-58.0	20.0	23.0	0.149898	88.67	35.21
-58.0	19.0	23.0	0.149898	88.65	35.23
-58.0	20.0	23.0	0.148616	88.63	35.25
-58.0	19.0	23.0	0.148616	88.62	35.23
-58.0	20.0	23.0	0.149898	88.62	35.25
-58.0	19.0	23.0	0.149898	88.62	35.25
-58.0	19.0	23.0	0.148616	88.62	35.23
-58.0	20.0	23.0	0.149898	88.63	35.23
-58.0	20.0	23.0	0.151179	88.65	35.25
-59.0	20.0	22.0	0.151179	88.65	35.25
-58.0	20.0	23.0	0.149898	88.67	35.27
-58.0	20.0	22.0	0.149898	88.68	35.25
-59.0	20.0	22.0	0.151179	88.7	35.27
-58.0	20.0	22.0	0.149898	88.7	35.27
-58.0	20.0	22.0	0.151179	88.7	35.27
-58.0	20.0	22.0	0.151179	88.68	35.29
-58.0	20.0	22.0	0.151179	88.68	35.29
-58.0	20.0	22.0	0.15245999999999998	88.67	35.29
-58.0	20.0	22.0	0.15245999999999998	88.65	35.29
-58.0	20.0	22.0	0.15374100000000002	88.63	35.29
-58.0	20.0	22.0	0.151179	88.62	35.29
-58.0	20.0	22.0	0.151179	88.58	35.31
-58.0	20.0	22.0	0.15245999999999998	88.55	35.29
-58.0	20.0	22.0	0.15245999999999998	88.53	35.31
-58.0	20.0	22.0	0.15245999999999998	88.52	35.31
-58.0	20.0	22.0	0.15245999999999998	88.52	35.33
-58.0	20.0	22.0	0.15374100000000002	88.52	35.31
-54.0	16.0	25.0	0.15374100000000002	88.53	35.31
-61.0	17.0	26.0	0.165272	88.55	35.31
-60.0	18.0	20.0	0.155022	88.57	35.33
-59.0	18.0	20.0	0.15245999999999998	88.57	35.33
-60.0	19.0	19.0	0.15245999999999998	88.58	35.33
-59.0	18.0	20.0	0.15245999999999998	88.63	35.33
-57.0	14.0	17.0	0.15374100000000002	88.68	35.34
-59.0	18.0	20.0	0.15245999999999998	88.73	35.31
-60.0	18.0	20.0	0.15245999999999998	88.78	35.34
-60.0	19.0	20.0	0.148616	88.83	35.31
-60.0	19.0	20.0	0.149898	88.93	35.34
-60.0	19.0	20.0	0.151179	89.02	35.34
-59.0	19.0	20.0	0.151179	89.08	35.34
-60.0	19.0	20.0	0.149898	89.1	35.34
-60.0	19.0	20.0	0.151179	89.1	35.34
-60.0	19.0	20.0	0.151179	89.1	35.33
-59.0	19.0	20.0	0.151179	89.12	35.33
-60.0	19.0	20.0	0.151179	89.13	35.33
-60.0	19.0	20.0	0.149898	89.15	35.34
-60.0	19.0	19.0	0.151179	89.17	35.34
-59.0	19.0	19.0	0.151179	89.2	35.34
-60.0	19.0	19.0	0.149898	89.22	35.34
-60.0	19.0	18.0	0.151179	89.23	35.34
-60.0	19.0	19.0	0.151179	89.25	35.37
-60.0	19.0	19.0	0.151179	89.27	35.34
-60.0	19.0	19.0	0.15245999999999998	89.28	35.37
-60.0	19.0	19.0	0.15245999999999998	89.3	35.37
-60.0	19.0	19.0	0.15245999999999998	89.3	35.37
-60.0	19.0	19.0	0.15245999999999998	89.17	35.34
-59.0	19.0	19.0	0.15245999999999998	89.07	35.37
-60.0	19.0	19.0	0.151179	88.95	35.39
-59.0	19.0	19.0	0.15245999999999998	88.85	35.37
-60.0	20.0	19.0	0.15245999999999998	88.73	35.37
-60.0	19.0	18.0	0.15245999999999998	88.63	35.37
-60.0	19.0	18.0	0.15245999999999998	88.53	35.37
-61.0	19.0	18.0	0.15245999999999998	88.47	35.34
-61.0	19.0	17.0	0.15245999999999998	88.45	35.34
-60.0	19.0	18.0	0.15245999999999998	88.45	35.37
